Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,5
2,324,107,4,4.0,4.5,8.87,1,4
3,316,104,3,3.0,3.5,8.0,1,4
4,322,110,3,3.5,2.5,8.67,1,4
5,314,103,2,2.0,3.0,8.21,0,4
6,330,115,5,4.5,3.0,9.34,1,5
7,321,109,3,3.0,4.0,8.2,1,4
8,308,101,2,3.0,4.0,7.9,0,4
9,302,102,1,2.0,1.5,8.0,0,3
10,323,108,3,3.5,3.0,8.6,0,3
11,325,106,3,3.5,4.0,8.4,1,3
12,327,111,4,4.0,4.5,9.0,1,5
13,328,112,4,4.0,4.5,9.1,1,4
14,307,109,3,4.0,3.0,8.0,1,4
15,311,104,3,3.5,2.0,8.2,1,4
16,314,105,3,3.5,2.5,8.3,0,3
17,317,107,3,4.0,3.0,8.7,0,4
18,319,106,3,4.0,3.0,8.0,1,4
19,318,110,3,4.0,3.0,8.8,0,4
20,303,102,3,3.5,3.0,8.5,0,4
21,312,107,3,3.0,2.0,7.9,1,4
22,325,114,4,3.0,2.0,8.4,0,4
23,328,116,5,5.0,5.0,9.5,1,5
24,334,119,5,5.0,4.5,9.7,1,5
25,336,119,5,4.0,3.5,9.8,1,5
26,340,120,5,4.5,4.5,9.6,1,5
27,322,109,5,4.5,3.5,8.8,0,4
28,298,98,2,1.5,2.5,7.5,1,3
29,295,93,1,2.0,2.0,7.2,0,3
30,310,99,2,1.5,2.0,7.3,0,3
31,300,97,2,3.0,3.0,8.1,1,4
32,327,103,3,4.0,4.0,8.3,1,4
33,338,118,4,3.0,4.5,9.4,1,5
34,340,114,5,4.0,4.0,9.6,1,5
35,331,112,5,4.0,5.0,9.8,1,5
36,320,110,5,5.0,5.0,9.2,1,5
37,299,106,2,4.0,4.0,8.4,0,4
38,300,105,1,1.0,2.0,7.8,0,3
39,304,105,1,3.0,1.5,7.5,0,3
40,307,108,2,4.0,3.5,7.7,0,3
41,308,110,3,3.5,3.0,8.0,1,3
42,316,105,2,2.5,2.5,8.2,1,3
43,313,107,2,2.5,2.0,8.5,1,3
44,332,117,4,4.5,4.0,9.1,0,5
45,326,113,5,4.5,4.0,9.4,1,5
46,322,110,5,5.0,4.0,9.1,1,5
47,329,114,5,4.0,5.0,9.3,1,5
48,339,119,5,4.5,4.0,9.7,0,5
49,321,110,3,3.5,5.0,8.85,1,5
50,327,111,4,3.0,4.0,8.4,1,4
51,313,98,3,2.5,4.5,8.3,1,4
52,312,100,2,1.5,3.5,7.9,1,3
53,334,116,4,4.0,3.0,8.0,1,4
54,324,112,4,4.0,2.5,8.1,1,4
55,322,110,3,3.0,3.5,8.0,0,4
56,320,103,3,3.0,3.0,7.7,0,4
57,316,102,3,2.0,3.0,7.4,0,4
58,298,99,2,4.0,2.0,7.6,0,3
59,300,99,1,3.0,2.0,6.8,1,2
60,311,104,2,2.0,2.0,8.3,0,3
61,309,100,2,3.0,3.0,8.1,0,3
62,307,101,3,4.0,3.0,8.2,0,3
63,304,105,2,3.0,3.0,8.2,1,3
64,315,107,2,4.0,3.0,8.5,1,3
65,325,111,3,3.0,3.5,8.7,0,3
66,325,112,4,3.5,3.5,8.92,0,3
67,327,114,3,3.0,3.0,9.02,0,4
68,316,107,2,3.5,3.5,8.64,1,3
69,318,109,3,3.5,4.0,9.22,1,4
70,328,115,4,4.5,4.0,9.16,1,4
71,332,118,5,5.0,5.0,9.64,1,5
72,336,112,5,5.0,5.0,9.76,1,5
73,321,111,5,5.0,5.0,9.45,1,5
74,314,108,4,4.5,4.0,9.04,1,5
75,314,106,3,3.0,5.0,8.9,0,4
76,329,114,2,2.0,4.0,8.56,1,4
77,327,112,3,3.0,3.0,8.72,1,4
78,301,99,2,3.0,2.0,8.22,0,4
79,296,95,2,3.0,2.0,7.54,1,3
80,294,93,1,1.5,2.0,7.36,0,3
81,312,105,3,2.0,3.0,8.02,1,3
82,340,120,4,5.0,5.0,9.5,1,5
83,320,110,5,5.0,4.5,9.22,1,5
84,322,115,5,4.0,4.5,9.36,1,5
85,340,115,5,4.5,4.5,9.45,1,5
86,319,103,4,4.5,3.5,8.66,0,4
87,315,106,3,4.5,3.5,8.42,0,4
88,317,107,2,3.5,3.0,8.28,0,4
89,314,108,3,4.5,3.5,8.14,0,4
90,316,109,4,4.5,3.5,8.76,1,4
91,318,106,2,4.0,4.0,7.92,1,4
92,299,97,3,5.0,3.5,7.66,0,2
93,298,98,2,4.0,3.0,8.03,0,2
94,301,97,2,3.0,3.0,7.88,1,3
95,303,99,3,2.0,2.5,7.66,0,2
96,304,100,4,1.5,2.5,7.84,0,3
97,306,100,2,3.0,3.0,8.0,0,3
98,331,120,3,4.0,4.0,8.96,1,5
99,332,119,4,5.0,4.5,9.24,1,5
100,323,113,3,4.0,4.0,8.88,1,4
101,322,107,3,3.5,3.5,8.46,1,4
102,312,105,2,2.5,3.0,8.12,0,4
103,314,106,2,4.0,3.5,8.25,0,4
104,317,104,2,4.5,4.0,8.47,0,3
105,326,112,3,3.5,3.0,9.05,1,4
106,316,110,3,4.0,4.5,8.78,1,4
107,329,111,4,4.5,4.5,9.18,1,5
108,338,117,4,3.5,4.5,9.46,1,5
109,331,116,5,5.0,5.0,9.38,1,5
110,304,103,5,5.0,4.0,8.64,0,4
111,305,108,5,3.0,3.0,8.48,0,4
112,321,109,4,4.0,4.0,8.68,1,4
113,301,107,3,3.5,3.5,8.34,1,4
114,320,110,2,4.0,3.5,8.56,0,4
115,311,105,3,3.5,3.0,8.45,1,3
116,310,106,4,4.5,4.5,9.04,1,4
117,299,102,3,4.0,3.5,8.62,0,3
118,290,104,4,2.0,2.5,7.46,0,3
119,296,99,2,3.0,3.5,7.28,0,3
120,327,104,5,3.0,3.5,8.84,1,4
121,335,117,5,5.0,5.0,9.56,1,5
122,334,119,5,4.5,4.5,9.48,1,5
123,310,106,4,1.5,2.5,8.36,0,3
124,308,108,3,3.5,3.5,8.22,0,4
125,301,106,4,2.5,3.0,8.47,0,3
126,300,100,3,2.0,3.0,8.66,1,4
127,323,113,3,4.0,3.0,9.32,1,5
128,319,112,3,2.5,2.0,8.71,1,4
129,326,112,3,3.5,3.0,9.1,1,5
130,333,118,5,5.0,5.0,9.35,1,5
131,339,114,5,4.0,4.5,9.76,1,5
132,303,105,5,5.0,4.5,8.65,0,4
133,309,105,5,3.5,3.5,8.56,0,4
134,323,112,5,4.0,4.5,8.78,0,4
135,333,113,5,4.0,4.0,9.28,1,5
136,314,109,4,3.5,4.0,8.77,1,5
137,312,103,3,5.0,4.0,8.45,0,4
138,316,100,2,1.5,3.0,8.16,1,4
139,326,116,2,4.5,3.0,9.08,1,4
140,318,109,1,3.5,3.5,9.12,0,4
141,329,110,2,4.0,3.0,9.15,1,5
142,332,118,2,4.5,3.5,9.36,1,5
